card_id,target
C_ID_0ab67a22ab,-4.318940514
C_ID_130fd0cbdd,-0.329055662
C_ID_b709037bc5,-1.421240772
C_ID_d27d835a9f,-0.156419607
C_ID_2b5e3df5c2,-1.393698522
C_ID_5814b4f13c,0.234464275
C_ID_a1b3c75277,0.059570065
C_ID_f7cada36d3,0.610363386
C_ID_9d2bc8dfc4,-0.899120462
C_ID_6d8dba8475,-0.527886486
C_ID_4859ac9ed5,-0.911188394
C_ID_0e281e8ad6,-0.014064547
C_ID_8375dfdaa2,0.090030021
C_ID_79d149c008,0.008895473
C_ID_7f1041e8e1,-5.084023703
C_ID_f72513589e,0.84358319
C_ID_a7f2d6984e,0.393115076
C_ID_15489b42d3,-0.097443856
C_ID_e457bbd71d,0.137449788
C_ID_3f74e10c7e,-0.093406799
C_ID_48243da9c4,0.215357651
C_ID_7ea1fcf117,-0.739109663
C_ID_22e4a47c72,0.528850258
C_ID_5d30729184,0.190543606
C_ID_b54cfad8b2,-0.81839179
C_ID_4b82e26faa,-0.565449532
C_ID_60a453531a,-1.049418404
C_ID_0c9315feec,-0.442990155
C_ID_1e28804d36,-0.145946342
C_ID_68de79f7e2,-0.518648899
C_ID_78dedf0d70,-0.143448514
C_ID_83e740197f,1.038729543
C_ID_e6340286bd,-0.286849532
C_ID_5005a6ad0e,0.683152359
C_ID_b00860b6a5,-0.057154227
C_ID_c595ba6d92,-0.45659418
C_ID_09ad76147d,1.053129471
C_ID_041f478878,-0.883151981
C_ID_8eaa79db4f,-4.590414378
C_ID_74ff4fdd9d,0.59164136
C_ID_2558bddd83,-0.564127914
C_ID_5077e2007a,-0.443090369
C_ID_66715f7d2b,0.602573262
C_ID_f27972fa70,-0.096778111
C_ID_8f62bd5ac0,-0.28203891
C_ID_40a2412bae,-0.884469927
C_ID_57940f34ad,-0.243711575
C_ID_8f9dc072c4,1.183516554
C_ID_11ca664f8c,-0.321432283
C_ID_50ad1cb064,-0.345429836
C_ID_e9771fd0b3,1.001379186
C_ID_df2ae73120,-0.232714331
C_ID_fddf997091,-0.957314031
C_ID_8202301cc0,0.228472353
C_ID_4828164a6e,1.170635631
C_ID_4154bc963b,-0.141117812
C_ID_0f68113888,-1.678490292
C_ID_f9c5ec1112,-0.720493123
C_ID_59406e1778,0.196131186
C_ID_9119618513,-1.142505127
C_ID_c37f1dacc3,-0.106175416
C_ID_06a7a6f70d,-0.374757805
C_ID_4ef8177b42,0.805790904
C_ID_f7453d5126,0.027957465
C_ID_038b1f5193,-0.393442013
C_ID_7b3f35325f,-0.342290368
C_ID_e3315cf124,-0.037405252
C_ID_5a3419552f,-1.891948165
C_ID_17cb2f55f2,0.90181191
C_ID_bfbffbec95,-0.27142223
C_ID_812e419644,-0.336675164
C_ID_ac88d17815,0.451384471
C_ID_562a791678,-0.568842971
C_ID_a2e5f3b899,-0.140947303
C_ID_5a66e302ea,0.08492821
C_ID_215dd2acfd,-0.93939613
C_ID_ef5198fe59,-0.410240648
C_ID_751e3800a5,-0.360447821
C_ID_fa6b4db855,-0.353999494
C_ID_771d1cb4c1,0.265203186
C_ID_338bed6617,0.293944224
C_ID_d580357116,0.474522819
C_ID_ba0303353c,0.160250235
C_ID_348cbde97c,0.194731692
C_ID_1120541741,-0.362476476
C_ID_b320fc81e5,-0.108811856
C_ID_89c020292e,0.797005599
C_ID_e1dbc78eda,-0.761733987
C_ID_a266b0afb1,0.199603664
C_ID_690962095c,-0.262356083
C_ID_b75c4e1c94,-0.477243518
C_ID_df503a36ae,1.006825875
C_ID_00b966c727,-0.188898419
C_ID_af9e0d2367,0.520507953
C_ID_a9935875b9,0.216275301
C_ID_5078eaf301,-0.641726826
C_ID_69800fbc34,-0.166892248
C_ID_2b8decb6a3,-0.257451994
C_ID_2326cc45b0,-0.584531912
C_ID_a693c8ab8c,-0.374941042
C_ID_931670b20c,0.36021844
C_ID_f9acbb44b5,-0.629079509
C_ID_403d457c52,0.043003343
C_ID_d5467ab0b6,-0.338429582
C_ID_ca39dff1d6,-0.692328341
C_ID_2a122c5394,-0.536423623
C_ID_38a83f816f,-1.42446363
C_ID_aed043274d,-2.904361227
C_ID_97c1de0a4c,-4.317693089
C_ID_6302a73978,-3.951180795
C_ID_13aa77acc7,-0.385410366
C_ID_8ea1ccd74c,0.092223485
C_ID_f8dd617397,-0.571003198
C_ID_18abe17a50,-0.091254842
C_ID_ca9bf15ecf,-1.904287754
C_ID_ffbb1f9527,0.19370411
C_ID_9e30b550ed,-2.016857124
C_ID_ca321cca06,-0.690130575
C_ID_12ee8ab17a,-1.978205346
C_ID_d543e00469,0.120758675
C_ID_91e960d08f,0.054547959
C_ID_876bf4bea6,0.394509303
C_ID_bca9fd7a34,-0.240504648
C_ID_ce489f86d1,-0.457707294
C_ID_a2f1f4964d,-1.094055548
C_ID_c5526b4a82,-0.364998475
C_ID_a51d58a5ef,-0.08492689
C_ID_2ea4c3f269,-0.273779069
C_ID_0ad663712d,0.555298768
C_ID_9f205b643c,-1.224704105
C_ID_a23d5b907f,-0.26907654
C_ID_fce231c8a3,-0.207831737
C_ID_fd3c643078,0.361765827
C_ID_0aaa962d5e,0.7098174
C_ID_51c466eeba,-0.334790803
C_ID_4cf0a6c713,-1.16211224
C_ID_dac6ff5b70,-0.194157098
C_ID_84d7bf1269,-0.187911046
C_ID_e1e8acdab6,0.748956567
C_ID_4ab54b988f,-0.208596628
C_ID_45e2cac501,-0.477110191
C_ID_c55808f402,-1.55920578
C_ID_c26381a58e,1.527826042
C_ID_6c6fc27f19,-0.263515716
C_ID_4c2682fb80,-0.453465679
C_ID_79713b508a,0.496763688
C_ID_77a9133536,0.209055132
C_ID_764456eb02,-0.258125546
C_ID_9189dadc72,0.129594359
C_ID_f1c0aa6f3c,-0.688003833
C_ID_0763171db6,0.452220699
C_ID_c554360bfe,-1.676675961
C_ID_cfb87f52ae,-0.573045441
C_ID_d99a6ea9e0,0.123193239
C_ID_7fa0d03279,0.415514583
C_ID_1571a674c8,-0.322282768
C_ID_87c16e5496,-2.645312723
C_ID_e0b7951237,-0.478183578
C_ID_90c74fe7b4,-0.955483887
C_ID_7ce9c02b76,-0.259841696
C_ID_83435bac3d,-0.274037112
C_ID_439720c321,-2.924444466
C_ID_10a8a42d77,-10.21522782
C_ID_a485f8a1a5,-0.125911728
C_ID_0defe22c13,-0.229242099
C_ID_95943569e9,-1.71170038
C_ID_be3c295747,-0.202036006
C_ID_f9bd6c67b0,-0.71532278
C_ID_4b2514ee32,-0.248055074
C_ID_689b430d0b,0.137683274
C_ID_5ac4488f3c,-3.996866326
C_ID_4bf0426f57,0.352824784
C_ID_88cb2d5ac7,-1.008546911
C_ID_9c5220f864,-0.498998839
C_ID_6bb9e252f4,-0.659161755
C_ID_8ae58e7880,-1.666347639
